,movieId,title,genres,title_short,year
126,153,Batman Forever,Action|Adventure|Comedy|Crime,Batman Forever,1995
128,155,Beyond Rangoon,Adventure|Drama|War,Beyond Rangoon,1995
129,156,Blue in the Face,Comedy|Drama,Blue in the Face,1995
130,157,Canadian Bacon,Comedy|War,Canadian Bacon,1995
131,158,Casper,Adventure|Children,Casper,1995
132,159,Clockers,Crime|Drama|Mystery,Clockers,1995
133,160,Congo,Action|Adventure|Mystery|Sci-Fi,Congo,1995
134,161,Crimson Tide,Drama|Thriller|War,Crimson Tide,1995
135,162,Crumb,Documentary,Crumb,1994
136,163,Desperado,Action|Romance|Western,Desperado,1995
137,164,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,Devil in a Blue Dress,1995
139,166,The Doom Generation,Comedy|Crime|Drama,The Doom Generation,1995
140,168,First Knight,Action|Drama|Romance,First Knight,1995
141,169,Free Willy 2: The Adventure Home,Adventure|Children|Drama,Free Willy 2: The Adventure Home,1995
142,170,Hackers,Action|Adventure|Crime|Thriller,Hackers,1995
143,171,Jeffrey,Comedy|Drama,Jeffrey,1995
144,172,Johnny Mnemonic,Action|Sci-Fi|Thriller,Johnny Mnemonic,1995
145,173,Judge Dredd,Action|Crime|Sci-Fi,Judge Dredd,1995
146,174,Jury Duty,Comedy,Jury Duty,1995
147,175,Kids,Drama,Kids,1995
148,176,Living in Oblivion,Comedy,Living in Oblivion,1995
149,177,Lord of Illusions,Horror,Lord of Illusions,1995
151,179,Mad Love,Drama|Romance,Mad Love,1995
152,180,Mallrats,Comedy|Romance,Mallrats,1995
153,181,Mighty Morphin Power Rangers: The Movie,Action|Children,Mighty Morphin Power Rangers: The Movie,1995
154,183,Mute Witness,Comedy|Horror|Thriller,Mute Witness,1994
156,185,The Net,Action|Crime|Thriller,The Net,1995
157,186,Nine Months,Comedy|Romance,Nine Months,1995
158,187,Party Girl,Comedy,Party Girl,1995
159,188,The Prophecy,Fantasy|Horror|Mystery,The Prophecy,1995
160,189,Reckless,Comedy|Fantasy,Reckless,1995
161,190,Safe,Thriller,Safe,1995
162,191,The Scarlet Letter,Drama|Romance,The Scarlet Letter,1995
163,193,Showgirls,Drama,Showgirls,1995
164,194,Smoke,Comedy|Drama,Smoke,1995
165,195,Something to Talk About,Comedy|Drama|Romance,Something to Talk About,1995
166,196,Species,Horror|Sci-Fi,Species,1995
167,198,Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Strange Days,1995
168,199,The Umbrellas of Cherbourg,Drama|Musical|Romance,The Umbrellas of Cherbourg,1964
169,201,Three Wishes,Drama|Fantasy,Three Wishes,1995
170,202,Total Eclipse,Drama|Romance,Total Eclipse,1995
171,203,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,"To Wong Foo, Thanks for Everything! Julie Newmar",1995
172,204,Under Siege 2: Dark Territory,Action,Under Siege 2: Dark Territory,1995
173,205,Unstrung Heroes,Comedy|Drama,Unstrung Heroes,1995
174,206,Unzipped,Documentary,Unzipped,1995
175,207,A Walk in the Clouds,Drama|Romance,A Walk in the Clouds,1995
176,208,Waterworld,Action|Adventure|Sci-Fi,Waterworld,1995
177,209,White Man's Burden,Drama,White Man's Burden,1995
178,210,Wild Bill,Western,Wild Bill,1995
179,211,The Browning Version,Drama,The Browning Version,1994
180,212,Bushwhacked,Adventure|Comedy|Crime|Mystery,Bushwhacked,1995
181,213,Burnt by the Sun,Drama,Burnt by the Sun,1994
182,214,Before the Rain,Drama|War,Before the Rain,1994
183,215,Before Sunrise,Drama|Romance,Before Sunrise,1995
184,216,Billy Madison,Comedy,Billy Madison,1995
185,217,The Babysitter,Drama|Thriller,The Babysitter,1995
186,218,Boys on the Side,Comedy|Drama,Boys on the Side,1995
187,219,The Cure,Drama,The Cure,1995
188,220,Castle Freak,Horror,Castle Freak,1995
189,222,Circle of Friends,Drama|Romance,Circle of Friends,1995
190,223,Clerks,Comedy,Clerks,1994
191,224,Don Juan DeMarco,Comedy|Drama|Romance,Don Juan DeMarco,1995
192,225,Disclosure,Drama|Thriller,Disclosure,1994
193,227,Drop Zone,Action|Thriller,Drop Zone,1994
194,228,Destiny Turns on the Radio,Comedy,Destiny Turns on the Radio,1995
195,229,Death and the Maiden,Drama|Thriller,Death and the Maiden,1994
196,230,Dolores Claiborne,Drama|Thriller,Dolores Claiborne,1995
198,232,Eat Drink Man Woman,Comedy|Drama|Romance,Eat Drink Man Woman,1994
200,234,Exit to Eden,Comedy,Exit to Eden,1994
201,235,Ed Wood,Comedy|Drama,Ed Wood,1994
202,236,French Kiss,Action|Comedy|Romance,French Kiss,1995
203,237,Forget Paris,Comedy|Romance,Forget Paris,1995
205,239,A Goofy Movie,Animation|Children|Comedy|Romance,A Goofy Movie,1995
206,240,Hideaway,Thriller,Hideaway,1995
207,241,Fluke,Children|Drama,Fluke,1995
209,243,Gordy,Children|Comedy|Fantasy,Gordy,1995
210,246,Hoop Dreams,Documentary,Hoop Dreams,1994
211,247,Heavenly Creatures,Crime|Drama,Heavenly Creatures,1994
212,248,Houseguest,Comedy,Houseguest,1994
213,249,Immortal Beloved,Drama|Romance,Immortal Beloved,1994
214,250,Heavyweights,Children|Comedy,Heavyweights,1995
215,251,The Hunted,Action,The Hunted,1995
216,252,I.Q.,Comedy|Romance,I.Q.,1994
218,254,Jefferson in Paris,Drama,Jefferson in Paris,1995
220,256,Junior,Comedy|Sci-Fi,Junior,1994
221,257,Just Cause,Mystery|Thriller,Just Cause,1995
222,258,A Kid in King Arthur's Court,Adventure|Children|Comedy|Fantasy|Romance,A Kid in King Arthur's Court,1995
223,259,Kiss of Death,Crime|Drama|Thriller,Kiss of Death,1995
225,261,Little Women,Drama,Little Women,1994
226,262,A Little Princess,Children|Drama,A Little Princess,1995
228,265,Like Water for Chocolate,Drama|Fantasy|Romance,Like Water for Chocolate,1992
229,266,Legends of the Fall,Drama|Romance|War|Western,Legends of the Fall,1994
230,267,Major Payne,Comedy,Major Payne,1995
232,270,Love Affair,Drama|Romance,Love Affair,1994
233,271,Losing Isaiah,Drama,Losing Isaiah,1995
234,272,The Madness of King George,Comedy|Drama,The Madness of King George,1994
236,274,Man of the House,Comedy,Man of the House,1995
237,275,Mixed Nuts,Comedy,Mixed Nuts,1994
238,276,Milk Money,Comedy|Romance,Milk Money,1994
239,277,Miracle on 34th Street,Drama,Miracle on 34th Street,1994
240,278,Miami Rhapsody,Comedy,Miami Rhapsody,1995
241,279,My Family,Drama,My Family,1995
242,280,Murder in the First,Drama|Thriller,Murder in the First,1995
243,281,Nobody's Fool,Comedy|Drama|Romance,Nobody's Fool,1994
244,282,Nell,Drama,Nell,1994
245,283,New Jersey Drive,Crime|Drama,New Jersey Drive,1995
249,288,Natural Born Killers,Action|Crime|Thriller,Natural Born Killers,1994
250,289,Only You,Comedy|Romance,Only You,1994
251,290,Once Were Warriors,Crime|Drama,Once Were Warriors,1994
253,292,Outbreak,Action|Drama|Sci-Fi|Thriller,Outbreak,1995
254,293,Léon: The Professional,Action|Crime|Drama|Thriller,Léon: The Professional,1994
255,294,The Perez Family,Comedy|Romance,The Perez Family,1995
256,295,A Pyromaniac's Love Story,Comedy|Romance,A Pyromaniac's Love Story,1995
257,296,Pulp Fiction,Comedy|Crime|Drama|Thriller,Pulp Fiction,1994
259,299,Priest,Drama,Priest,1994
260,300,Quiz Show,Drama,Quiz Show,1994
261,301,Picture Bride,Drama|Romance,Picture Bride,1994
263,303,The Quick and the Dead,Action|Thriller|Western,The Quick and the Dead,1995
264,304,Roommates,Comedy|Drama,Roommates,1995
269,310,Rent-a-Kid,Comedy,Rent-a-Kid,1995
271,312,Stuart Saves His Family,Comedy,Stuart Saves His Family,1995
272,313,The Swan Princess,Animation|Children,The Swan Princess,1994
273,314,The Secret of Roan Inish,Children|Drama|Fantasy|Mystery,The Secret of Roan Inish,1994
274,315,The Specialist,Action|Drama|Thriller,The Specialist,1994
275,316,Stargate,Action|Adventure|Sci-Fi,Stargate,1994
276,317,The Santa Clause,Comedy|Drama|Fantasy,The Santa Clause,1994
277,318,The Shawshank Redemption,Crime|Drama,The Shawshank Redemption,1994
278,319,Shallow Grave,Comedy|Drama|Thriller,Shallow Grave,1994
280,321,Strawberry and Chocolate,Drama,Strawberry and Chocolate,1993
281,322,Swimming with Sharks,Comedy|Drama,Swimming with Sharks,1995
282,324,The Sum of Us,Comedy|Drama,The Sum of Us,1994
283,325,National Lampoon's Senior Trip,Comedy,National Lampoon's Senior Trip,1995
284,326,To Live,Drama,To Live,1994
285,327,Tank Girl,Action|Comedy|Sci-Fi,Tank Girl,1995
288,330,Tales from the Hood,Action|Crime|Horror,Tales from the Hood,1995
289,331,Tom & Viv,Drama,Tom & Viv,1994
290,332,Village of the Damned,Horror|Sci-Fi,Village of the Damned,1995
291,333,Tommy Boy,Comedy,Tommy Boy,1995
292,334,Vanya on 42nd Street,Drama,Vanya on 42nd Street,1994
294,336,The Walking Dead,Drama|War,The Walking Dead,1995
295,337,What's Eating Gilbert Grape,Drama,What's Eating Gilbert Grape,1993
296,338,Virtuosity,Action|Sci-Fi|Thriller,Virtuosity,1995
297,339,While You Were Sleeping,Comedy|Romance,While You Were Sleeping,1995
298,340,The War,Adventure|Drama|War,The War,1994
299,341,Double Happiness,Drama,Double Happiness,1994
300,342,Muriel's Wedding,Comedy,Muriel's Wedding,1994
301,343,The Baby-Sitters Club,Children,The Baby-Sitters Club,1995
302,344,Ace Ventura: Pet Detective,Comedy,Ace Ventura: Pet Detective,1994
303,345,"The Adventures of Priscilla, Queen of the Desert",Comedy|Drama,"The Adventures of Priscilla, Queen of the Desert",1994
304,346,Backbeat,Drama|Musical,Backbeat,1993
305,347,Bitter Moon,Drama|Film-Noir|Romance,Bitter Moon,1992
306,348,Bullets Over Broadway,Comedy,Bullets Over Broadway,1994
307,349,Clear and Present Danger,Action|Crime|Drama|Thriller,Clear and Present Danger,1994
308,350,The Client,Drama|Mystery|Thriller,The Client,1994
310,352,Crooklyn,Comedy|Drama,Crooklyn,1994
311,353,The Crow,Action|Crime|Fantasy|Thriller,The Crow,1994
312,354,Cobb,Drama,Cobb,1994
313,355,The Flintstones,Children|Comedy|Fantasy,The Flintstones,1994
314,356,Forrest Gump,Comedy|Drama|Romance|War,Forrest Gump,1994
315,357,Four Weddings and a Funeral,Comedy|Romance,Four Weddings and a Funeral,1994
316,358,Higher Learning,Drama,Higher Learning,1995
317,359,I Like It Like That,Comedy|Drama|Romance,I Like It Like That,1994
318,360,I Love Trouble,Action|Comedy,I Love Trouble,1994
319,361,It Could Happen to You,Comedy|Drama|Romance,It Could Happen to You,1994
320,362,The Jungle Book,Adventure|Children|Romance,The Jungle Book,1994
322,364,The Lion King,Adventure|Animation|Children|Drama|Musical|IMAX,The Lion King,1994
325,367,The Mask,Action|Comedy|Crime|Fantasy,The Mask,1994
326,368,Maverick,Adventure|Comedy|Western,Maverick,1994
327,369,Mrs. Parker and the Vicious Circle,Drama,Mrs. Parker and the Vicious Circle,1994
329,371,The Paper,Comedy|Drama,The Paper,1994
330,372,Reality Bites,Comedy|Drama|Romance,Reality Bites,1994
331,373,Red Rock West,Thriller,Red Rock West,1992
332,374,Richie Rich,Children|Comedy,Richie Rich,1994
333,376,The River Wild,Action|Thriller,The River Wild,1994
334,377,Speed,Action|Romance|Thriller,Speed,1994
335,378,Speechless,Comedy|Romance,Speechless,1994
336,379,Timecop,Action|Sci-Fi|Thriller,Timecop,1994
337,380,True Lies,Action|Adventure|Comedy|Romance|Thriller,True Lies,1994
338,381,When a Man Loves a Woman,Drama|Romance,When a Man Loves a Woman,1994
339,382,Wolf,Drama|Horror|Romance|Thriller,Wolf,1994
340,383,Wyatt Earp,Western,Wyatt Earp,1994
341,384,Bad Company,Action|Crime|Drama,Bad Company,1995
342,385,A Man of No Importance,Drama,A Man of No Importance,1994
343,386,S.F.W.,Drama,S.F.W.,1994
344,387,A Low Down Dirty Shame,Action|Comedy,A Low Down Dirty Shame,1994
348,391,Jason's Lyric,Crime|Drama,Jason's Lyric,1994
349,393,Street Fighter,Action|Adventure|Fantasy,Street Fighter,1994
350,405,Highlander III: The Sorcerer,Action|Fantasy,Highlander III: The Sorcerer,1994
352,407,In the Mouth of Madness,Horror|Thriller,In the Mouth of Madness,1995
353,408,8 Seconds,Drama,8 Seconds,1994
354,409,Above the Rim,Crime|Drama,Above the Rim,1994
355,410,Addams Family Values,Children|Comedy|Fantasy,Addams Family Values,1993
356,412,The Age of Innocence,Drama,The Age of Innocence,1993
357,413,Airheads,Comedy,Airheads,1994
358,414,The Air Up There,Comedy,The Air Up There,1994
359,415,Another Stakeout,Comedy|Thriller,Another Stakeout,1993
360,416,Bad Girls,Western,Bad Girls,1994
362,418,Being Human,Drama,Being Human,1993
363,419,The Beverly Hillbillies,Comedy,The Beverly Hillbillies,1993
364,420,Beverly Hills Cop III,Action|Comedy|Crime|Thriller,Beverly Hills Cop III,1994
365,421,Black Beauty,Adventure|Children|Drama,Black Beauty,1994
366,422,Blink,Thriller,Blink,1994
367,423,Blown Away,Action|Thriller,Blown Away,1994
368,424,Blue Chips,Drama,Blue Chips,1994
369,425,Blue Sky,Drama|Romance,Blue Sky,1994
370,426,Body Snatchers,Horror|Sci-Fi|Thriller,Body Snatchers,1993
372,428,A Bronx Tale,Drama,A Bronx Tale,1993
373,429,Cabin Boy,Comedy,Cabin Boy,1994
374,430,Calendar Girl,Comedy|Drama,Calendar Girl,1993
375,431,Carlito's Way,Crime|Drama,Carlito's Way,1993
376,432,City Slickers II: The Legend of Curly's Gold,Adventure|Comedy|Western,City Slickers II: The Legend of Curly's Gold,1994
377,433,Clean Slate,Comedy,Clean Slate,1994
378,434,Cliffhanger,Action|Adventure|Thriller,Cliffhanger,1993
379,435,Coneheads,Comedy|Sci-Fi,Coneheads,1993
380,436,Color of Night,Drama|Thriller,Color of Night,1994
382,438,The Cowboy Way,Action|Comedy|Drama,The Cowboy Way,1994
383,440,Dave,Comedy|Romance,Dave,1993
384,441,Dazed and Confused,Comedy,Dazed and Confused,1993
385,442,Demolition Man,Action|Adventure|Sci-Fi,Demolition Man,1993
386,444,Even Cowgirls Get the Blues,Comedy|Romance,Even Cowgirls Get the Blues,1993
387,445,Fatal Instinct,Comedy,Fatal Instinct,1993
388,446,Farewell My Concubine,Drama|Romance,Farewell My Concubine,1993
389,448,Fearless,Drama,Fearless,1993
390,449,Fear of a Black Hat,Comedy,Fear of a Black Hat,1994
391,450,With Honors,Comedy|Drama,With Honors,1994
392,451,Flesh and Bone,Drama|Mystery|Romance,Flesh and Bone,1993
393,452,Widows' Peak,Drama,Widows' Peak,1994
394,453,For Love or Money,Comedy|Romance,For Love or Money,1993
395,454,The Firm,Drama|Thriller,The Firm,1993
396,455,Free Willy,Adventure|Children|Drama,Free Willy,1993
397,456,Fresh,Crime|Drama|Thriller,Fresh,1994
398,457,The Fugitive,Thriller,The Fugitive,1993
399,458,Geronimo: An American Legend,Drama|Western,Geronimo: An American Legend,1993
400,459,The Getaway,Action|Adventure|Crime|Drama|Romance|Thriller,The Getaway,1994
401,460,Getting Even with Dad,Comedy,Getting Even with Dad,1994
402,461,Go Fish,Drama|Romance,Go Fish,1994
403,464,Hard Target,Action|Adventure|Crime|Thriller,Hard Target,1993
404,466,Hot Shots! Part Deux,Action|Comedy|War,Hot Shots! Part Deux,1993
405,467,Live Nude Girls,Comedy,Live Nude Girls,1995
406,468,The Englishman Who Went Up a Hill But Came Down a Mountain,Comedy|Romance,The Englishman Who Went Up a Hill But Came Down a Mountain,1995
407,469,The House of the Spirits,Drama|Romance,The House of the Spirits,1993
408,470,House Party 3,Comedy,House Party 3,1994
409,471,The Hudsucker Proxy,Comedy,The Hudsucker Proxy,1994
410,472,I'll Do Anything,Comedy|Drama,I'll Do Anything,1994
411,473,In the Army Now,Comedy|War,In the Army Now,1994
412,474,In the Line of Fire,Action|Thriller,In the Line of Fire,1993
413,475,In the Name of the Father,Drama,In the Name of the Father,1993
414,476,The Inkwell,Comedy|Drama,The Inkwell,1994
416,478,Jimmy Hollywood,Comedy|Crime|Drama,Jimmy Hollywood,1994
417,479,Judgment Night,Action|Crime|Thriller,Judgment Night,1993
418,480,Jurassic Park,Action|Adventure|Sci-Fi|Thriller,Jurassic Park,1993
420,482,Killing Zoe,Crime|Drama|Thriller,Killing Zoe,1994
421,484,Lassie,Adventure|Children,Lassie,1994
422,485,Last Action Hero,Action|Adventure|Comedy|Fantasy,Last Action Hero,1993
423,486,Life with Mikey,Comedy,Life with Mikey,1993
424,487,Lightning Jack,Comedy|Western,Lightning Jack,1994
425,488,M. Butterfly,Drama|Romance,M. Butterfly,1993
427,490,Malice,Thriller,Malice,1993
428,491,The Man Without a Face,Drama,The Man Without a Face,1993
429,492,Manhattan Murder Mystery,Comedy|Mystery,Manhattan Murder Mystery,1993
430,493,Menace II Society,Action|Crime|Drama,Menace II Society,1993
431,494,Executive Decision,Action|Adventure|Thriller,Executive Decision,1996
432,495,In the Realm of the Senses,Drama,In the Realm of the Senses,1976
434,497,Much Ado About Nothing,Comedy|Romance,Much Ado About Nothing,1993
435,499,Mr. Wonderful,Comedy|Romance,Mr. Wonderful,1993
436,500,Mrs. Doubtfire,Comedy|Drama,Mrs. Doubtfire,1993
437,501,Naked,Drama,Naked,1993
438,502,The Next Karate Kid,Action|Children|Romance,The Next Karate Kid,1994
439,504,No Escape,Action|Drama|Sci-Fi,No Escape,1994
440,505,North,Comedy,North,1994
441,506,Orlando,Drama|Fantasy|Romance,Orlando,1992
442,507,A Perfect World,Crime|Drama|Thriller,A Perfect World,1993
444,509,The Piano,Drama|Romance,The Piano,1993
445,510,Poetic Justice,Drama,Poetic Justice,1993
446,511,The Program,Action|Drama,The Program,1993
447,512,The Puppet Masters,Horror|Sci-Fi,The Puppet Masters,1994
448,513,Radioland Murders,Comedy|Mystery|Romance,Radioland Murders,1994
449,514,The Ref,Comedy,The Ref,1994
450,515,The Remains of the Day,Drama|Romance,The Remains of the Day,1993
451,516,Renaissance Man,Comedy|Drama,Renaissance Man,1994
452,517,Rising Sun,Action|Drama|Mystery,Rising Sun,1993
453,518,The Road to Wellville,Comedy,The Road to Wellville,1994
454,519,RoboCop 3,Action|Crime|Drama|Sci-Fi|Thriller,RoboCop 3,1993
455,520,Robin Hood: Men in Tights,Comedy,Robin Hood: Men in Tights,1993
456,521,Romeo Is Bleeding,Crime|Thriller,Romeo Is Bleeding,1993
457,522,Romper Stomper,Action|Drama,Romper Stomper,1992
458,523,Ruby in Paradise,Drama,Ruby in Paradise,1993
459,524,Rudy,Drama,Rudy,1993
460,526,Savage Nights,Drama,Savage Nights,1992
461,527,Schindler's List,Drama|War,Schindler's List,1993
462,528,The Scout,Comedy|Drama,The Scout,1994
463,529,Searching for Bobby Fischer,Drama,Searching for Bobby Fischer,1993
464,531,The Secret Garden,Children|Drama,The Secret Garden,1993
465,532,Serial Mom,Comedy|Crime|Horror,Serial Mom,1994
466,533,The Shadow,Action|Adventure|Fantasy|Mystery,The Shadow,1994
467,534,Shadowlands,Drama|Romance,Shadowlands,1993
468,535,Short Cuts,Drama,Short Cuts,1993
469,536,A Simple Twist of Fate,Drama,A Simple Twist of Fate,1994
470,537,Sirens,Drama,Sirens,1994
471,538,Six Degrees of Separation,Drama,Six Degrees of Separation,1993
472,539,Sleepless in Seattle,Comedy|Drama|Romance,Sleepless in Seattle,1993
473,540,Sliver,Thriller,Sliver,1993
474,541,Blade Runner,Action|Sci-Fi|Thriller,Blade Runner,1982
475,542,Son in Law,Comedy|Drama|Romance,Son in Law,1993
476,543,So I Married an Axe Murderer,Comedy|Romance|Thriller,So I Married an Axe Murderer,1993
477,544,Striking Distance,Action|Crime,Striking Distance,1993
478,546,Super Mario Bros.,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,Super Mario Bros.,1993
479,547,Surviving the Game,Action|Adventure|Thriller,Surviving the Game,1994
480,548,Terminal Velocity,Action|Mystery|Thriller,Terminal Velocity,1994
482,550,Threesome,Comedy|Romance,Threesome,1994
483,551,The Nightmare Before Christmas,Animation|Children|Fantasy|Musical,The Nightmare Before Christmas,1993
484,552,The Three Musketeers,Action|Adventure|Comedy|Romance,The Three Musketeers,1993
485,553,Tombstone,Action|Drama|Western,Tombstone,1993
486,555,True Romance,Crime|Thriller,True Romance,1993
487,556,The War Room,Documentary,The War Room,1993
488,558,The Pagemaster,Action|Adventure|Animation|Children|Fantasy,The Pagemaster,1994
489,562,Welcome to the Dollhouse,Comedy|Drama,Welcome to the Dollhouse,1995
490,563,Germinal,Drama|Romance,Germinal,1993
491,564,Chasers,Comedy,Chasers,1994
494,569,Little Big League,Comedy|Drama,Little Big League,1994
